76,58
80,58
81,58
82,58
82,59
82,60
83,63
83,65
83,66
83,70
83,71
83,72
83,73
83,74
82,74
81,75
81,76
82,76
84,76
88,76
89,76
89,77
90,77
90,78
91,78
91,79
91,81
92,84
93,84
93,85
93,86
93,87
93,88
93,90
93,91
93,93
92,96
91,96
90,97
89,98
87,98
86,98
85,98
96,84
98,84
101,83
102,83
103,83
104,83
104,82
104,81
104,80
104,79
105,77
105,76
105,74
104,71
103,69
102,68
102,66
102,68
103,70
106,76
106,77
107,79
107,81
108,82
108,85
108,87
108,88
108,89
109,90
87,58
93,58
97,59
99,59
100,59
102,59
103,59
